Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h)
13/1/2020,18.4,28.8,0,E,44,16:27,22.1,62,E,15,27.7,39,ESE,24
14/1/2020,19.1,32.4,0,ESE,43,15:33,24.4,61,E,17,30.1,40,ENE,15
15/1/2020,19,31.3,0,E,33,15:58,23.1,68,NE,6,30.7,44,E,15
16/1/2020,20.6,28.3,0,NW,46,11:39,26.7,66,S,4,20.8,89,N,11
17/1/2020,19.8,25.4,3.6,S,43,11:36,22.4,79,SSW,7,23.1,68,S,17
18/1/2020,19.3,22,1.6,SSW,26,12:25,20.4,89,SSW,9,20.5,85,S,7
19/1/2020,18.8,26.9,11.4,SSE,26,14:00,21.9,80,SSW,4,26.1,68,SSW,13
20/1/2020,18.3,34.3,3.2,NNE,37,13:52,23.2,77,SSW,2,28.6,57,NE,22
21/1/2020,18.5,35.3,0,ESE,46,18:33,25,43,NNW,13,33.1,22,NNW,26
22/1/2020,20.1,37.9,0,E,41,18:08,24.1,74,NE,7,35.5,18,NNW,26
23/1/2020,20.6,42.3,0,W,76,20:37,31.3,42,NW,19,40.8,18,NW,30
24/1/2020,25.3,32.2,0.6,NNW,44,9:17,30.1,56,NNW,28,24.3,84,E,15
25/1/2020,23.3,,4.4,ESE,33,18:05,23.9,82,ESE,13,30.3,58,SE,19
26/1/2020,,,0,SSW,93,16:27,,,NW,9,35.9,35,N,19
27/1/2020,,32.7,41.6,E,35,16:46,25.1,78,SSE,9,30.6,53,ESE,11
28/1/2020,21.7,39,0,SSW,54,18:13,26,73,SE,4,37.1,33,N,20
29/1/2020,22.7,30,27.4,SE,41,18:01,24.4,82,S,7,28.9,63,E,19
30/1/2020,20,33.7,0,E,37,16:24,24.1,74,ENE,13,32.6,40,E,9
31/1/2020,21.1,41.2,0,ESE,35,18:24,25.2,78,SSE,2,39.3,31,ENE,11
1/2/2020,24.1,43.5,0,NNW,48,9:12,33.6,41,NW,28,41.8,23,NNW,20
2/2/2020,32,43,0,S,56,19:01,34.8,34,NW,31,42.2,20,NNW,26
3/2/2020,23.3,36.8,7.6,SSE,48,21:24,24.2,93,ESE,4,34,51,NNW,4
4/2/2020,18.2,24.5,0.8,E,41,13:06,19.2,53,SSE,15,23,46,ESE,26
5/2/2020,15.8,28.1,0,SE,39,17:50,20.9,62,E,15,26.6,48,ESE,15
6/2/2020,20,21.3,0,ESE,33,4:38,20.1,86,ESE,15,20.3,87,ESE,20
7/2/2020,18.7,22.5,33.6,ESE,33,22:53,19.6,96,SE,19,20.4,94,SSW,15
8/2/2020,18.9,23.7,18.8,E,54,12:02,19.5,91,SE,17,23.1,79,SE,28
9/2/2020,19.1,22.1,40.6,SE,70,4:37,21,95,SE,33,21.4,95,ESE,9
10/2/2020,20.2,28.8,8.2,N,39,14:42,21.9,86,ESE,2,28.7,61,NE,4
11/2/2020,17.9,32.1,0.2,E,39,15:26,22.2,83,S,4,30.7,45,ENE,6
12/2/2020,20.9,29.1,0.2,ESE,41,16:44,23.8,75,SSE,13,28.7,64,E,19
13/2/2020,22,26.4,0,SE,43,14:24,24.3,82,ESE,15,25.7,82,ESE,22
14/2/2020,19.5,29.2,5.4,E,30,17:09,22.2,77,SSE,7,27.7,46,SE,20
15/2/2020,16,29.7,0.2,SE,30,14:19,21,76,SE,2,29.1,58,ESE,9
16/2/2020,17.8,26.8,1.4,SE,31,13:53,22.7,74,SSE,7,26.2,63,ESE,19
17/2/2020,19.9,24.4,1.6,NNE,43,9:59,20.4,93,SE,2,21.2,96,SW,2
18/2/2020,18.8,32.9,25.8,NNW,39,13:29,20.3,99,SW,6,31.1,53,NW,24
19/2/2020,19.5,29.8,23.8,SW,78,0:38,22.5,77,NW,13,29,29,NNW,28
20/2/2020,15.6,26.4,0.2,ESE,41,16:17,20.2,62,WSW,6,26.2,44,NE,7
21/2/2020,18.6,26,0,ESE,37,17:12,21.6,64,ESE,9,25,55,E,13
22/2/2020,17.5,25.7,0,E,39,16:23,21.9,74,SE,15,24.8,61,ESE,22
23/2/2020,19.2,24.9,0,ESE,26,19:51,21.4,72,ESE,17,24.2,55,E,17
24/2/2020,18.7,25,0.2,ESE,22,23:22,20.9,81,ESE,6,21.1,91,E,2
25/2/2020,17.7,29.6,1.8,NNE,24,13:26,21.8,77,SE,4,28.7,54,N,11
26/2/2020,19.8,31.7,0.2,NNW,56,13:56,24,71,NW,15,27.9,58,NW,35
27/2/2020,18.2,25.7,1.4,S,28,23:59,18.9,84,SW,7,23.6,66,ENE,6
28/2/2020,15,28.1,0,ESE,44,17:40,19.6,76,W,4,27.8,34,NE,7
29/2/2020,16.7,28,0.2,ESE,33,17:24,21,70,SSW,7,27.5,50,E,11
1/3/2020,17.4,32.7,0,NNW,44,15:35,20.9,84,S,4,31.5,37,NW,26
2/3/2020,19.3,36,0,NNW,44,12:53,24.1,65, ,Calm,35.6,27,NW,24
3/3/2020,19.7,22,0,SSE,22,3:45,20.3,78,S,7,21.2,81,SE,9
4/3/2020,18.9,24.8,1.8,ESE,37,13:41,21,88,E,22,23.7,75,ESE,24
5/3/2020,19.7,23.9,3,ESE,33,1:47,20.3,95,SE,13,21.8,96,ESE,11
6/3/2020,19.9,29.8,27.4,NW,37,7:41,23.8,81,NW,24,28.9,61,NNW,20
7/3/2020,18.8,22.3,4,ESE,30,17:26,19.9,78,S,9,19.5,85,ESE,15
8/3/2020,16,22.4,1.4,E,30,10:31,19,79,S,13,21.5,68,ESE,13
9/3/2020,16.6,21.9,0,ESE,33,14:37,18.1,82,S,11,20.6,71,E,15
10/3/2020,15.8,25.3,0,ESE,35,16:29,19.2,77,SSW,9,24.8,50,E,17
11/3/2020,14.1,23.7,0,ESE,43,11:37,18.7,77,S,7,22.1,61,E,24
12/3/2020,14.5,25.2,0,ESE,39,15:11,19.2,80,SSE,7,24.9,48,ESE,17
13/3/2020,12.5,26.4,0,ESE,31,17:46,17.8,76,WSW,2,24.6,49,ESE,11
14/3/2020,14,20.2,0,SSE,43,10:14,18.5,79,S,13,17.2,75,S,17
15/3/2020,12.5,21.8,5.6,SSE,35,15:00,15.8,74,S,19,21.7,61,SSE,20
16/3/2020,14.4,23.6,0.2,SSE,46,14:03,17.1,82,SSW,17,21.1,75,SSE,20
17/3/2020,14.3,23.2,4.2,SSE,30,12:50,16.6,82,S,13,19.1,84,NE,11
18/3/2020,12.2,25.9,0.8,SE,19,12:28,16,93,S,4,25.3,49,NE,4
19/3/2020,12.9,31.4,0.2,N,19,12:25,17.5,78,WNW,9,30.4,32,NNW,6
20/3/2020,16.8,33.2,0,NW,48,11:59,21.8,57,NW,9,32.4,29,NW,30
21/3/2020,16.7,28.2,0,ESE,33,22:56,20.6,80,SE,2,27.4,46,ENE,15
22/3/2020,17.8,30.4,0,ESE,37,17:51,19.7,89,ESE,7,29.6,40,NNW,13
23/3/2020,18.3,23.9,0,SSE,37,5:54,19.4,66,S,13,21.5,61,SE,19
24/3/2020,15.9,25.9,0,SE,31,15:11,19.6,75,ESE,13,24.8,54,ESE,15
25/3/2020,14.4,24.9,0,NW,35,11:52,18.7,78,SSE,6,19.4,93,WSW,7
26/3/2020,16.4,17.9,21.2,S,28,6:47,16.9,87,SSE,17,17.4,87,SSW,17
27/3/2020,15.3,22.9,3.4,E,41,15:22,17.6,89,SE,7,21.9,55,ESE,20
28/3/2020,12.7,22.8,0,ESE,26,11:03,15.8,90,SW,2,21.3,70,SSE,13
29/3/2020,15.9,26.2,1.2,ESE,22,0:18,18.7,92,E,9,24.9,59,ENE,6
30/3/2020,16.6,22.5,0.2,NW,37,13:51,19,90,W,9,20.4,80,NW,26
31/3/2020,14.9,28.3,4.8,ESE,30,17:15,18.5,94,W,6,27.2,52,N,6
1/4/2020,16.9,27.3,0,ESE,31,20:27,19.8,98, ,Calm,26.8,54,ESE,11
2/4/2020,16.8,25.6,0,WNW,37,14:00,18.9,94, ,Calm,23.5,65,WNW,28
3/4/2020,17.2,24.9,6,N,20,20:04,19.9,97, ,Calm,21.2,87,NW,6
4/4/2020,18.5,25.9,21.4,NW,70,12:47,18.6,96,NNW,19,24.5,40,NW,35
5/4/2020,12.1,23,0,NNW,44,14:39,17,61,NW,20,22.5,40,NW,30
6/4/2020,10.5,24,0,ESE,26,18:31,17.4,68,NW,13,22.3,48,NE,4
7/4/2020,15.1,21.4,0,SE,28,11:36,17.6,74,S,11,20.6,61,SE,11
8/4/2020,13.9,20.7,0,ESE,24,16:32,17.8,78,S,6,18.4,78,SSE,11
9/4/2020,14.9,20.4,2.2,SE,26,21:56,17.1,87,SSW,4,20,72,ESE,15
10/4/2020,15.9,20.1,0.6,WNW,22,21:22,17.3,97, ,Calm,18.5,91,NNW,9
11/4/2020,14.6,25.4,3.8,NW,76,13:32,18.6,69,NW,20,25.1,34,WNW,33
12/4/2020,9.5,22,0,SW,37,0:13,16.2,46,WNW,4,20.8,37,NNE,11
13/4/2020,7.1,22.8,0,ESE,15,18:46,15.8,68, ,Calm,22.3,46,NNE,4
14/4/2020,10.3,25.9,0,N,19,13:52,17.3,71,NW,6,25.5,39,N,11
15/4/2020,11.3,28.8,0,N,24,13:20,18.9,66,W,7,28.3,30,NNW,11
16/4/2020,16.2,27.9,0,NW,44,12:56,21.9,59,WNW,11,26.4,45,NW,22
17/4/2020,17.9,28.5,0,NNW,33,15:15,22.6,55,W,7,27.4,32,NNW,19
18/4/2020,10.4,23.9,0,ESE,24,18:33,16.7,58,WNW,9,23.5,36,ENE,7
19/4/2020,7.5,24.1,0,ESE,19,18:09,16.1,70,SW,4,23.1,33,ESE,4
20/4/2020,10.2,21.9,0,NW,41,12:21,15,63,WNW,13,20.9,40,NW,19
21/4/2020,13.1,26.1,0,NW,31,14:08,16,75,WNW,2,24.9,36,NNW,19
22/4/2020,10.4,26.6,0,NNW,22,15:11,19.1,64,WNW,7,26.3,35,ESE,4
23/4/2020,9.3,25,0,N,26,15:07,17.3,61,W,6,23.8,27,NNW,15
24/4/2020,12.2,28.5,0,NNW,35,15:13,18.7,55,NW,11,27.2,31,NW,19
25/4/2020,11.3,27.9,0,NW,33,13:35,18.6,61,WSW,4,27.2,31,WNW,17
26/4/2020,10.8,28.1,0,W,50,12:36,19.4,53,WNW,9,27,30,W,17
27/4/2020,15.3,21.1,0,SE,33,15:54,18.6,71,SSW,4,19.9,79,ESE,13
28/4/2020,16.4,24.6,0.2,ESE,39,15:17,20.6,70,E,15,22.8,65,E,24
29/4/2020,15.7,28.3,0.2,WNW,22,10:54,17.8,87,SE,7,27.5,48,NNE,11
30/4/2020,16.4,21.6,0.8,NW,56,17:42,17.7,92,N,6,14.3,84,NW,22
1/5/2020,8.8,16.6,3.8,NW,63,12:55,12.2,64,NW,31,15.2,40,NW,39
2/5/2020,11.2,18.5,0,NW,65,1:52,14.6,47,WNW,30,15.9,61,NW,26
3/5/2020,,20.1,0,,,,13.2,57,WNW,11,19.1,36,S,7
4/5/2020,5.4,21.1,0,S,24,19:58,12.1,71,SW,6,20.9,37,NNE,4
5/5/2020,10.1,19,0,SSW,28,4:10,16.3,70,SSW,13,15.4,91,E,4
6/5/2020,8.4,21.3,0.8,N,15,14:01,11.8,99,WSW,4,21,53,NNW,9
7/5/2020,7.6,22.6,0.2,NW,39,14:33,12.2,97, ,Calm,22,50,NW,20
8/5/2020,10.2,26.2,0,NW,39,12:25,17,68,NNW,4,25.2,36,NW,24
9/5/2020,11.8,25.2,0,NNW,50,14:00,17.9,65,NW,7,19.4,60,NW,33
10/5/2020,9.3,18.9,0,WNW,33,11:28,14.5,46,WNW,9,17.9,26,WSW,15
11/5/2020,5.4,18.9,0,S,22,13:02,11.4,53,WNW,9,17.9,33,S,7
12/5/2020,3.5,20.8,0,N,24,13:19,10.6,69,NE,4,19.6,45,NNE,6
13/5/2020,6,21.8,0.2,NW,28,14:48,12.1,76,WSW,6,18.8,39,NW,17
14/5/2020,6.9,19.2,0,SE,30,14:52,14,72,SSW,11,16.7,56,SE,19
15/5/2020,9.8,17.5,0,SSW,28,7:17,14.4,61,S,11,16.1,65,SSE,15
16/5/2020,10.3,20.6,0.4,ESE,31,14:07,15.4,75,SSW,6,19.7,51,ESE,15
17/5/2020,7.7,22.4,0,SE,26,15:04,14.7,76,NE,4,19.7,50,SE,17
18/5/2020,11.2,19,0,E,28,10:53,15.7,78,S,6,17.1,76,E,15
19/5/2020,8.3,21.5,0,ESE,26,19:02,11.8,99,SE,6,20.4,57,E,11
20/5/2020,9.8,23.8,0,NW,44,11:41,16,75,SE,4,22.6,47,NW,17
21/5/2020,12.7,17.1,0,WSW,30,21:02,13.2,86,WNW,2,16.4,84,NW,6
22/5/2020,7.4,17.9,0.8,WSW,43,2:08,12.4,66,NW,15,16.8,47,SW,17
23/5/2020,9,15,0,NNW,46,11:53,10.2,73,NW,26,12.9,69,NW,26
24/5/2020,10.2,17,2.2,SW,39,11:03,14,73,NW,7,16.9,55,SW,20
25/5/2020,12.4,15,0,SSW,41,21:26,13.6,66,WSW,17,13.7,82,WSW,7
26/5/2020,12,18.7,9.2,S,46,3:52,14.2,85,SSW,19,17.9,66,SSE,20
27/5/2020,10.9,18.6,0,SSW,24,2:16,14.4,80,SW,9,18.1,64, ,Calm
28/5/2020,9.4,21.3,0,S,28,23:33,11.3,98,S,4,21.1,50,W,4
29/5/2020,11.2,20.4,3.2,ESE,24,13:18,14.7,76,SSW,4,16.6,84,ENE,4
30/5/2020,9.8,19.6,1.4,SE,20,18:53,11.5,95, ,Calm,19.4,60,NE,11
31/5/2020,8.5,21.1,0,N,15,13:17,10.9,99, ,Calm,18.9,64,NNW,7
1/6/2020,9.6,21.7,0,NW,56,14:21,16.4,65,NW,19,21.4,42,NNW,33
2/6/2020,6.6,16.2,0,NW,44,12:40,9.1,69,NW,22,15.8,42,W,26
3/6/2020,6.4,19.4,0,NW,30,7:02,11.3,68,NW,19,18,37,S,13
4/6/2020,9.6,17.1,0,SSW,30,5:27,12.5,54,SSW,15,15.5,55,SSE,13
5/6/2020,4.2,18.8,0,N,24,14:38,9,83,W,6,18.4,44,N,13
6/6/2020,5.3,18.8,0,N,17,12:39,10.3,78,W,4,17.4,53,ENE,4
7/6/2020,4.8,18.5,0,SSW,22,22:55,8.4,97,WSW,4,16.8,52,SSE,13
8/6/2020,8.4,18.2,0,SSW,28,9:14,12.8,72,SSW,15,16.5,53,S,15
9/6/2020,11.4,16.1,0.4,SSW,26,1:23,13.8,85,SSW,13,15.3,93,SSE,7
10/6/2020,12.9,16.6,8.8,ESE,24,6:27,14.6,98,SE,9,16.2,94,SE,7
11/6/2020,12.9,20.2,4,SSE,17,14:19,15.3,88,WSW,7,19.7,54,SE,11
12/6/2020,12.8,18.4,0,S,28,7:13,14.6,82,S,9,16.8,76,S,7
13/6/2020,11.4,18.9,0,S,11,8:40,13.3,98, ,Calm,17.7,74,ENE,7
14/6/2020,11.2,20.8,12.2,NW,48,13:29,13.3,99,W,9,20.3,47,NW,24
15/6/2020,7,18.2,0,NW,24,2:10,10.6,75,NW,13,17.8,47,NW,11
16/6/2020,6.4,19.5,0,NW,30,14:18,9.7,89,W,6,19.2,51,NNW,19
17/6/2020,6.3,19.5,0,SSE,31,13:45,10.2,86,W,6,14.3,93,SSW,7
18/6/2020,10.2,18.4,2.2,E,24,11:51,14,73,SW,6,16.4,63,E,13
19/6/2020,5.6,18.3,0,ENE,13,14:49,9.4,97, ,Calm,17.8,64,ENE,7
20/6/2020,4.6,19.3,0.2,SW,9,17:05,6.3,99, ,Calm,19,56,SW,6
21/6/2020,6.3,16.1,4.4,WNW,28,20:21,10.5,96,WSW,7,15.5,83,NNW,6
22/6/2020,7.3,15.2,4.4,NW,41,12:27,12.2,70,NNW,15,14.5,59,NW,24
23/6/2020,5.9,15.3,0,NW,37,14:33,8.9,83,WNW,13,13.6,60,NNW,19
24/6/2020,7.3,16.6,0,NNW,48,15:03,11.2,70,NW,20,15.1,55,NNW,28
25/6/2020,6.7,16.4,0,NW,35,13:25,10,78,NW,11,16,56,NNW,22
26/6/2020,5.3,17.9,0,SW,17,13:33,8.9,74,W,7,15.9,49,S,11
27/6/2020,6.8,17,0,SSW,22,10:03,11.8,76,SSW,11,16.3,62,ESE,11
28/6/2020,7.8,17.2,0,SE,20,14:35,11.9,76,S,7,15.1,59,SSE,11
29/6/2020,6.6,17.4,0,E,19,13:36,10.7,87,SW,11,16,61,E,7
30/6/2020,4.5,18,0,N,17,15:43,7.4,99,SW,4,17.2,48,NNW,9
1/7/2020,5.1,20.1,0.2,NNW,30,13:11,8.9,89,WSW,4,19.6,34,NNW,13
2/7/2020,8.6,22.5,0,NW,43,12:32,13.9,64,W,9,22,40,NW,26
3/7/2020,10.4,19.5,0,NW,39,13:09,12.6,80,SW,6,19,30,WNW,13
4/7/2020,6.5,16.3,0.4,NNW,33,4:26,9.4,80,W,11,16.1,38,W,11
5/7/2020,4,17.6,0,NW,26,9:32,8.6,73,WNW,9,16.9,43,NNW,11
6/7/2020,3.5,18.3,0,NNE,17,15:54,7.7,81,W,6,17.7,45,NW,6
7/7/2020,4.8,17.9,0,SSE,20,21:49,7.2,94, ,Calm,15.9,51,NE,2
8/7/2020,7.2,16.5,0,SSE,20,10:51,12.9,78,SSW,9,15.8,62,SE,11
9/7/2020,5.1,19.1,0.2,ESE,15,15:58,8.9,96,SSW,4,17.6,56,E,6
10/7/2020,8.8,15.5,0.2,NW,15,11:59,10,97,W,4,14.3,89,NW,2
11/7/2020,10.1,16.2,5.4,W,11,13:48,11.8,99,W,4,15.8,84,SW,7
12/7/2020,8.3,19.6,0.8,NW,31,13:13,11.4,99,WSW,2,18.7,47,NW,13
13/7/2020,4.3,15.9,4,NNW,22,13:16,7.8,99,W,7,15.3,53,NNW,13
14/7/2020,5.4,16.2,2.8,SSW,54,12:47,9.3,96,W,13,14.7,65,SSW,22
15/7/2020,9.4,17.3,0.2,SSW,44,10:55,13,58,SW,28,16,49,SSW,17
16/7/2020,6,16.7,0,SSW,31,22:52,10.7,62,WNW,7,15.3,53,SSW,13
17/7/2020,10.7,16.2,0,S,31,11:08,12.9,68,SSW,11,15,62,SSW,15
18/7/2020,10.7,17.8,0,SSW,22,5:07,13.9,65,SSW,2,16,60,NE,6
19/7/2020,4.7,19.8,0,NW,46,14:42,8.1,98,W,7,19.3,42,NW,28
20/7/2020,7.4,19.2,0,NW,31,3:19,12.1,65,WNW,11,18.1,22,SW,15
21/7/2020,2.7,17.1,0,SSE,22,11:54,8,65,W,6,16.2,47,SSE,9
22/7/2020,4.5,17.7,0,WSW,15,5:55,7.4,85,WSW,6,15.1,59,NE,9
23/7/2020,5.5,19.2,0,NE,17,16:35,9.6,82,WNW,6,18.5,41,ENE,7
24/7/2020,2.4,18.7,0,E,26,16:33,6.9,98,WSW,6,16.6,66,ESE,13
25/7/2020,6.3,18.3,0,ENE,31,17:06,9.8,99,WNW,9,16.2,76,ESE,15
26/7/2020,9.3,14.2,13.6,WNW,43,23:10,12.2,97,SSW,11,13.3,95,SW,11
27/7/2020,11.9,17.2,49.4,NW,50,1:43,14.2,84,NW,17,14.2,94,WNW,11
28/7/2020,10,14.1,17.4,NW,41,12:25,11.1,98,NW,20,13.1,92,NW,22
29/7/2020,9,19.4,4,S,20,12:19,12.2,99,WNW,4,18.7,53,W,4
30/7/2020,8,18.6,0,S,28,12:18,11.2,83,W,11,16.1,51,S,7
31/7/2020,9.6,17.4,0,SW,31,8:53,11.9,68,SW,22,16.1,47,SSE,7
